"No.","Time","Receiver address","Transmitter address","Destination address","Source","Destination","Type/Subtype","Protocol","PHY type","Length","Info"
"87","0.165266","34:13:e8:38:41:72","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","ArubaNet_e0:dd:d1","IntelCor_38:41:72","Action","802.11","802.11a","62","Action, SN=3645, FN=0, Flags=........C"
"88","0.165343","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"89","0.165868","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","9c:1c:12:e0:dd:d1","IntelCor_38:41:72","ArubaNet_e0:dd:d1","Action","802.11","802.11a","62","Action, SN=52, FN=0, Flags=........C"
"90","0.165943","34:13:e8:38:41:72","","","","IntelCor_38:41:72 (34:13:e8:38:41:72) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"91","0.166524","34:13:e8:38:41:72","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","CiscoInc_60:c7:c0","IntelCor_38:41:72","QoS Data","802.11","802.11n","678","QoS Data, SN=2654, FN=0, Flags=.p....F.C"
"92","0.166605","34:13:e8:38:41:72","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","CiscoInc_60:c7:c0","IntelCor_38:41:72","QoS Data","802.11","802.11n","148","QoS Data, SN=2655, FN=0, Flags=.p....F.C"
"93","0.166683","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","","IntelCor_38:41:72 (34:13:e8:38:41:72) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","802.11 Block Ack","802.11","802.11a","57","802.11 Block Ack, Flags=........C"
"94","0.167334","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","","IntelCor_38:41:72 (34:13:e8:38:41:72) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"95","0.167409","34:13:e8:38:41:72","","","","IntelCor_38:41:72 (34:13:e8:38:41:72) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"96","0.167484","bc:1c:12:e0:dd:d1","36:1b:e8:38:41:70","b4:14:8b:40:c7:c2","36:1b:e8:38:41:70","b4:14:8b:40:c7:c2","QoS Null function (No data)","802.11","802.11n","142","QoS Null function (No data), SN=2282, FN=0, Flags=.p.....T."
"97","0.167562","34:13:e8:38:41:72","","","","IntelCor_38:41:72 (34:13:e8:38:41:72) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"98","0.167681","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","","IntelCor_38:41:72 (34:13:e8:38:41:72) (TA)","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"99","0.167756","34:13:e8:38:41:72","","","","IntelCor_38:41:72 (34:13:e8:38:41:72) (RA)","Clear-to-send","802.11","802.11a","39","Clear-to-send, Flags=........C"
"100","0.167832","","","","","","56","802.11","802.11n","142","Unrecognized (Reserved frame), Flags=.p.....T."
"101","0.167920","34:13:e8:38:41:72","","","","IntelCor_38:41:72 (34:13:e8:38:41:72) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"102","0.169000","34:13:e8:38:41:72","9c:1c:12:e0:dd:d1","34:13:e8:38:41:72","CiscoInc_60:c7:c0","IntelCor_38:41:72","QoS Data","802.11","802.11n","148","QoS Data, SN=2656, FN=0, Flags=.p....F.C"
"103","0.169088","9c:1c:12:e0:dd:d1","","","","ArubaNet_e0:dd:d1 (9c:1c:12:e0:dd:d1) (RA)","Acknowledgement","802.11","802.11a","39","Acknowledgement, Flags=........C"
"104","0.181942","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","f4:5c:89:8c:a2:db","173.194.175.95","10.145.4.233","QoS Data","TCP","802.11n","138","443 > 53228 [ACK] Seq=1270 Ack=1224 Win=549 Len=0 TSval=3601204846 TSecr=2379897767"
"105","0.203891","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d0","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d0","Broadcast","Beacon frame","802.11","802.11a","212","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=RedRover"
"106","0.204224","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d1","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d1","Broadcast","Beacon frame","802.11","802.11a","265","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=eduroam"
"107","0.204548","ff:ff:ff:ff:ff:ff","9c:1c:12:e0:dd:d2","ff:ff:ff:ff:ff:ff","ArubaNet_e0:dd:d2","Broadcast","Beacon frame","802.11","802.11a","219","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=Cornell-Visitor"
"108","0.204636","","","","","","18","802.11","802.11n","628","Unrecognized (Reserved frame), Flags=....RMFT."
"109","0.204776","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","","ArubaNet_e0:dd:d0 (9c:1c:12:e0:dd:d0) (TA)","Apple_8c:a2:db (f4:5c:89:8c:a2:db) (RA)","Request-to-send","802.11","802.11a","45","Request-to-send, Flags=........C"
"110","0.204952","f4:5c:89:8c:a2:db","9c:1c:12:e0:dd:d0","f4:5c:89:8c:a2:db","173.194.175.95","10.145.4.233","QoS Data","TLSv1.2","802.11n","628","Application Data"
"111","0.205304","cd:3b:28:76:e0:37","64:df:3f:ad:bf:01","e5:b1:48:c8:5b:77","64:df:3f:ad:bf:01","e5:b1:48:c8:5b:77","Data + CF-Ack + CF-Poll","802.11","802.11n","1109","Data + CF-Ack + CF-Poll, SN=1475, FN=0, Flags=.pm.R..T."
